GID;MSGID;en;th;jp;zh
;B062FD17451718AF8DCA0EA781A4381B;"     Ah, yeah, unfortunately, we’re out of hands. I’m out of ingredients for the mushroom stews and pie. If you be so generous as to help me, I need 10 mushrooms and 10 forest berries. You can find them in the nearest village. As a reward, I’ll give you something valuable with which you can cook own tasty dishes.
			Take quest:";"      啊，遗憾的是，我已经没有炖蘑菇和派的材料了。请您帮我找来10个蘑菇和10个森林浆果。你可以在最近的村庄里找到它们。作为奖励，我将给你一些有价值的东西，你可以用它来做自己的美味佳肴。
			接受任务:"
;D8B80BC84466A0FE9ED924B1D537D745;" (free)";" (自由)"
;15248D8340A8125716828F9974B696A8;" +L+ "
;D6347FB243F42887602F1EAF4DE10741;" -L- "
;5855200B4D0CD3937F5E15ABF2B59F26;" / "
;1239C0884C8E7640DE965E8739C9309D;" Clear out all bandit camps in the region to open new technologies and invite more people to your town";清理该地区所有的强盗营地，以解锁新的科技，并邀请更多的人来到你的城镇。
;020E82D04AFD9BEDC6C9749ECBB01733;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;2255FAD54E25D1385A4C61AD6C7E09EC;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;2CAF2D64464DA1186107FD8CBF418CA6;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;3CF963C7449960C5CCFA5195378A5A5B;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;5692A56141E6411B7C3C389E2D7CBC4C;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;602371484F1BAECAF95590976D04EB36;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;8DC1A82449E8E4B300E34EBAB8FB0377;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;A69EEA7F4FD78F04C80EB6A23512B6E1;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;AE1D908840873E14C29FBA973B62EB92;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;B12B2F8946D062CDA99B53B69E3CFE5B;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;BC49139C49FCCAC0EFCB0AB2D5711B30;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;C75BCA4C4328C49206C398A01E6145F5;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;D3BEF190447BDE73513334B300C99FDE;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;D44425E14D71EDB6E4B564939238DE77;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;ED468DF149B251A265EE7296F5311DF4;" Life is hard those days, especially when you're old.";生活本就很难，对于上了年纪的人更是难上加难.
;1E560E144D825CBF0577E9B096485883;" Secret spice, used by north shamans to invoke the spiritual world. ";秘密香料,被北方的萨满用来进入精神世界.
;49C800CF435E4E9094469F8AF094F9C7;" Secret spice, used by north shamans to invoke the spiritual world. ";秘密香料,被北方的萨满用来进入精神世界.
;35B74AFE43A8918FEC559C93D37F812E;" kg";千克
;7E72F9C0474B922834D53B8D43F3A7CB;" kg";千克
;D43E99C74BD1314436602EA9062C0061;" kg";千克
;6EF6352B452A0CA12F858B8FB067E10D;" seconds";秒
;BFCF164B4FC6E1416A723085B967C63F;" to give up ";放弃
;B8F814234482FC0B5A03BC8898B9C147;"""I love this fishing village! It's like living in a fishbowl, only without the pesky goldfish.";"我喜欢这个渔村! 这就像生活在一个鱼缸里，只是没有讨厌的金鱼。"
;9B4AEE4B423CBDE39268C791BA8BDCCC;"""I swear, if one more person asks me where the mine is, I'm going to start directing them to the old abandoned one just for kicks.";我发誓，如果再有一个人问我矿场在哪里，我就会开始把他们引向废弃的旧矿场了。
;944909BF4382DB7624439FA9B1D687F0;"""In this hunting village, we're like a pack of wolves. We may fight and bicker, but when it comes down to it, we always have each other's backs.";在这个狩猎村，我们就像一群狼。我们可能会打架和争吵，但在关键时刻，我们总是相互支持。
;969788CD4F5B70E12C8212B063E41673;%;％
;EF5064DF42506B9B0B6EF9A3FD88C8C6;%
;77ED085E49BF1F9E6354FC99AEC2B1D7;"'Vovka' Vladimir Gryaznov";"""沃夫卡 ""弗拉基米尔-格里亚兹诺夫"
;GiantWallPacker.Description;"(CAN BE BUILT ONLY BY CLAIM OWNERS) Large structure allowing Nomads to pack their Giant Wall defenses in a single compartment. Can only be built on bases and packed together with Founder Walkers due to its weight and size.";"(只能由所有者建造) 一种允许游民将他们的巨墙防御装在一个隔间里的大型建筑。由于其重量和尺寸，只能在基地上建造，并与基础类型的翼行者一起打包。"
;GiantWallGate.Description;"(CAN BE BUILT ONLY BY CLAIM OWNERS) Sturdy gate of a massive size that slides to the side when opened. Large enough to fit most of the walker types known to Nomads.";"(只能由所有者建造) 尺寸巨大且坚固的门，打开后可滑向一侧。大到足以容纳游民们所知的大多数步行者类型。"
;GiantWall.Description;"(CAN BE BUILT ONLY BY CLAIM OWNERS) Sturdy walls of a massive size used by groups of nomads to defend their territory against walker attacks. Can be packed into a Giant Wall Packer.";(只能由所有者建造）坚固的大型墙体，被游民用来抵御翼行者的攻击。可以装入巨大的墙体包装器。
;9FFDFA884A63D1B28FF42F968B8F3974;"(For buildings of ALL tiers, not only T1)";(适用于所有级别的建筑，不仅仅是T1级)
;87D099094F09F5738380C2B2349624F5;"(HOLD TO CHARGE)";(长按蓄力)
;86514AEB48575DA677E8B1B68122B2CA;(HOLD);(长按)
;177055C44F95EABA073AF89166887EF7;(free);(可用)
;59B79BED46930A6BD82A218B7CFCE1D3;"(reopen to update)";(重新打开以更新)
;37B624EE44C396BBFD91D7BF2F56418D;+
